order_id,product_id,product_name,category,quantity,unit_price,total_price,order_date
1050,P002,"Laptop 15""",Computers,2,850.0,1700.0,2025-03-07
1051,P003,USB-C Hub,Accessories,5,40.0,200.0,2025-01-05
1052,P007,Noise Cancelling Headphones,Audio,3,200.0,600.0,2025-01-15
1053,P007,Noise Cancelling Headphones,Audio,3,200.0,600.0,2025-03-12
1054,P007,Noise Cancelling Headphones,Audio,4,200.0,800.0,2025-02-20
1055,P004,Gaming Keyboard,Accessories,2,120.0,240.0,2025-03-15
1056,P004,Gaming Keyboard,Accessories,2,120.0,240.0,2025-01-25
1057,P003,USB-C Hub,Accessories,5,40.0,200.0,2025-03-23
1058,P001,Wireless Mouse,Accessories,5,25.0,125.0,2025-03-13
1059,P005,"Monitor 27""",Displays,3,300.0,900.0,2025-02-07
1060,P007,Noise Cancelling Headphones,Audio,3,200.0,600.0,2025-02-09
1061,P002,"Laptop 15""",Computers,1,850.0,850.0,2025-03-03
1062,P006,External SSD 1TB,Storage,3,150.0,450.0,2025-01-04
1063,P007,Noise Cancelling Headphones,Audio,2,200.0,400.0,2025-03-20
1064,P002,"Laptop 15""",Computers,2,850.0,1700.0,2025-01-18
1065,P007,Noise Cancelling Headphones,Audio,5,200.0,1000.0,2025-03-31
1066,P004,Gaming Keyboard,Accessories,1,120.0,120.0,2025-01-08
1067,P006,External SSD 1TB,Storage,1,150.0,150.0,2025-01-24
1068,P003,USB-C Hub,Accessories,2,40.0,80.0,2025-03-26
1069,P001,Wireless Mouse,Accessories,1,25.0,25.0,2025-02-24
1070,P006,External SSD 1TB,Storage,1,150.0,150.0,2025-01-03
1071,P003,USB-C Hub,Accessories,3,40.0,120.0,2025-01-08
1072,P002,"Laptop 15""",Computers,4,850.0,3400.0,2025-01-01
1073,P005,"Monitor 27""",Displays,5,300.0,1500.0,2025-02-28
1074,P007,Noise Cancelling Headphones,Audio,5,200.0,1000.0,2025-03-02
1075,P002,"Laptop 15""",Computers,1,850.0,850.0,2025-03-05
1076,P005,"Monitor 27""",Displays,2,300.0,600.0,2025-01-27
1077,P003,USB-C Hub,Accessories,3,40.0,120.0,2025-02-19
1078,P005,"Monitor 27""",Displays,3,300.0,900.0,2025-03-10
1079,P007,Noise Cancelling Headphones,Audio,1,200.0,200.0,2025-01-08
1080,P003,USB-C Hub,Accessories,4,40.0,160.0,2025-02-02
1081,P001,Wireless Mouse,Accessories,4,25.0,100.0,2025-02-24
1082,P004,Gaming Keyboard,Accessories,4,120.0,480.0,2025-02-27
1083,P004,Gaming Keyboard,Accessories,1,120.0,120.0,2025-03-11
1084,P004,Gaming Keyboard,Accessories,3,120.0,360.0,2025-02-12
1085,P001,Wireless Mouse,Accessories,1,25.0,25.0,2025-03-15
1086,P002,"Laptop 15""",Computers,3,850.0,2550.0,2025-01-23
1087,P005,"Monitor 27""",Displays,1,300.0,300.0,2025-02-10
1088,P006,External SSD 1TB,Storage,2,150.0,300.0,2025-01-03
1089,P001,Wireless Mouse,Accessories,1,25.0,25.0,2025-01-15
1090,P001,Wireless Mouse,Accessories,1,25.0,25.0,2025-01-02
1091,P003,USB-C Hub,Accessories,5,40.0,200.0,2025-02-16
1092,P007,Noise Cancelling Headphones,Audio,5,200.0,1000.0,2025-01-14
1093,P001,Wireless Mouse,Accessories,4,25.0,100.0,2025-02-10
1094,P003,USB-C Hub,Accessories,2,40.0,80.0,2025-01-21
1095,P001,Wireless Mouse,Accessories,2,25.0,50.0,2025-03-29
1096,P005,"Monitor 27""",Displays,1,300.0,300.0,2025-01-08
1097,P006,External SSD 1TB,Storage,3,150.0,450.0,2025-01-19
1098,P001,Wireless Mouse,Accessories,2,25.0,50.0,2025-03-20
1099,P006,External SSD 1TB,Storage,4,150.0,600.0,2025-01-05
1100,P004,Gaming Keyboard,Accessories,5,120.0,600.0,2025-02-26
